servicearea,operator,testtype,avgspeed
Chennai,JIO,download,7455.11
Madhya Pradesh,IDEA,download,7541.4
West Bengal,VODAFONE,download,7728.33
North East,IDEA,download,7804.29
UP West,IDEA,download,7842.67
Punjab,CELLONE,upload,7851.29
Mumbai,JIO,download,7888.63
Kolkata,VODAFONE,upload,7907.01
Assam,IDEA,upload,7909.19
Kerala,JIO,download,7939.68
Maharashtra,VODAFONE,download,7951.05
UP West,IDEA,upload,8029.07
Kerala,VODAFONE,download,8064.03
Chennai,VODAFONE,upload,8142.46
Delhi,VODAFONE,download,8144.55
Haryana,JIO,download,8208.19
Assam,VODAFONE,upload,8211.99
Delhi,JIO,download,8315.37
Kolkata,JIO,download,8316.38
Punjab,IDEA,upload,8345.95
Kolkata,IDEA,download,8436
Jammu & Kashmir,CELLONE,upload,8493
Chennai,AIRTEL,download,8553.74
Karnataka,AIRTEL,download,8570.38
Tamil Nadu,VODAFONE,download,8733.34
Tamil Nadu,CELLONE,download,8768.71
Jammu & Kashmir,JIO,download,8860.41
Haryana,IDEA,download,8887.1
Tamil Nadu,AIRTEL,download,8985.25
Andhra Pradesh,CELLONE,download,9106.5
Kolkata,AIRTEL,download,9222.94
Gujarat,VODAFONE,download,9277.88
Haryana,IDEA,upload,9298.1
Rajasthan,AIRTEL,download,9499.52
Tamil Nadu,IDEA,download,9530.12
Maharashtra,AIRTEL,download,9554.65
Kerala,AIRTEL,download,9991.02
Gujarat,IDEA,upload,10012.06
Punjab,CELLONE,download,10156.29
Haryana,CELLONE,download,10257.5
Kolkata,VODAFONE,download,10313.28
Himachal Pradesh,AIRTEL,download,10575.83
Assam,AIRTEL,download,10931.79
Jammu & Kashmir,AIRTEL,download,11162.66
Mumbai,AIRTEL,download,11187.39
Gujarat,IDEA,download,11204.91
Chennai,VODAFONE,download,11266.34
Andhra Pradesh,AIRTEL,download,11480.21
Madhya Pradesh,VODAFONE,download,11646.33
Punjab,AIRTEL,download,11821.01
Delhi,AIRTEL,download,11913.47
West Bengal,IDEA,download,12513.99
Madhya Pradesh,AIRTEL,download,12737.55
Tamil Nadu,JIO,download,12773.49
Orissa,AIRTEL,download,12835.98
Haryana,AIRTEL,download,12953.72
Kolkata,CELLONE,download,13524
Gujarat,JIO,download,13979.12
West Bengal,JIO,download,14440.21
Maharashtra,JIO,download,14683.82
UP East,JIO,download,15280.92
Assam,IDEA,download,15811.49
Karnataka,JIO,download,16562.38
Andhra Pradesh,JIO,download,17188.72
Punjab,JIO,download,18393.59
Rajasthan,JIO,download,18644.28
UP West,JIO,download,19756.22
Himachal Pradesh,JIO,download,20625.26
Orissa,JIO,download,20892.79
Madhya Pradesh,JIO,download,26144.76
Bihar,JIO,download,31542.4
